-49.842, -18.703, 95.048
-49.84, -20.703, 92.337
-49.834, -22.703, 89.544
-49.824, -24.703, 86.66
-49.807, -26.703, 83.678
-49.784, -28.703, 80.586
-49.754, -30.703, 77.37
-49.719, -32.702, 74.014
-49.684, -34.702, 70.499
-49.653, -36.702, 66.799
-49.628, -38.702, 62.881
-49.61, -40.701, 58.703
-49.598, -42.701, 54.204
-49.591, -44.701, 49.295
-49.588, -46.701, 43.841
-49.617, -48.701, 37.604
-49.765, -50.695, 30.104
-50.234, -52.632, 20
-51.818, -53.438, 20
-53.503, -52.378, 62.143
-55.019, -51.073, 57.912
-56.536, -49.77, 53.346
-58.14, -48.577, 48.353
-59.894, -47.624, 42.789
-61.829, -47.153, 36.403
-62.756, -47.069, 94.091
-60.756, -47.042, 99.03
-58.756, -47.033, 99.495
-56.756, -47.031, 99.614
-54.756, -47.033, 99.676
-52.756, -47.04, 99.709
-50.756, -47.051, 99.725
-48.756, -47.065, 99.729
-46.756, -47.083, 99.727
-44.756, -47.105, 99.718
-42.757, -47.129, 99.71
-40.757, -47.158, 99.687
-38.757, -47.19, 99.673
-36.757, -47.226, 99.635
-34.758, -47.267, 97.368
-32.758, -47.312, 94.723
-30.759, -47.364, 92.003
-28.76, -47.418, 89.199
-26.76, -47.465, 86.305
-24.76, -47.486, 83.31
-24.525, -47.321, 82.869
-26.521, -47.205, 79.745
-28.52, -47.128, 76.494
-30.519, -47.076, 73.098
-32.519, -47.046, 69.536
-34.519, -47.039, 65.782
-36.519, -47.056, 61.801
-38.518, -47.101, 57.544
-40.517, -47.181, 52.947
-42.513, -47.306, 47.91
-44.503, -47.496, 42.278
-46.48, -47.799, 35.771
-48.443, -48.174, 27.781
-49.365, -47.285, 21.131
-47.987, -45.84, 91.983
-46.485, -44.52, 97.532
-44.954, -43.233, 99.717
-43.416, -41.954, 99.481
-41.881, -40.673, 98.912
-40.353, -39.382, 98.466
-38.838, -38.077, 98.079
-37.337, -36.755, 97.712
-35.855, -35.412, 97.338
-34.394, -34.046, 97.141
-32.958, -32.654, 96.716
-31.55, -31.234, 96.391
-30.159, -29.797, 94.337
-28.766, -28.362, 91.605
-27.369, -26.93, 88.789
-25.963, -25.508, 85.881
-24.752, -24.62, 83.63
-23.304, -23.24, 99.851
-21.869, -21.847, 99.142
-20.442, -20.446, 98.367
-19.028, -19.031, 98.775
-17.626, -17.605, 99.435
-16.229, -16.173, 99.77
-14.835, -14.739, 99.881
-13.442, -13.304, 99.952
-12.86, -12.702, 99.552
-14.26, -14.13, 99.728
-15.664, -15.555, 99.771
-17.069, -16.978, 99.794
-18.476, -18.399, 99.801
-19.885, -19.818, 99.806
-21.296, -21.236, 99.812
-22.709, -22.652, 99.813
-24.123, -24.066, 99.813
-25.539, -25.478, 99.812
-26.956, -26.889, 99.81
-28.376, -28.298, 99.807
-29.796, -29.706, 99.803
-31.219, -31.112, 99.799
-32.644, -32.516, 99.799
-34.07, -33.918, 99.793
-35.498, -35.318, 99.786
-36.928, -36.716, 99.779
-38.36, -38.112, 99.77
-39.793, -39.507, 99.76
-41.23, -40.899, 99.76
-42.668, -42.289, 99.749
-44.108, -43.677, 99.736
-45.55, -45.062, 99.721
-46.995, -46.445, 99.721
